A16.23.071.001	Удаление новообразования области шишковидной железы головного мозга с применением микрохирургической техники
A16.23.071.003	Удаление новообразования области шишковидной железы головного мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.071.004	Удаление новообразования IV желудочка с применением микрохирургической техники и с нейрофизиологическим контролем/мониторингом
A16.23.073	Удаление новообразования оболочек спинного мозга
A16.23.073.001	Удаление новообразования оболочек спинного мозга с применением микрохирургической техники
A16.23.075	Удаление новообразования хиазмально-селлярной области и III желудочка головного мозга
A16.23.082	Удаление новообразования черепных нервов
A16.23.082.001	Удаление новообразования черепных нервов с применением микрохирургической техники
A16.23.082.002	Удаление новообразования черепных нервов с применением микрохирургической техники и интраоперационной навигации
A16.23.083	Удаление новообразования краниофарингеального протока
A16.23.083.001	Удаление новообразования краниофарингеального протока с применением микрохирургической техники
A16.23.083.002	Удаление новообразования краниофарингеального протока с применением микрохирургической техники и интраоперационной навигации
A16.24.020	Удаление новообразования спинномозгового нерва
A16.24.020.001	Удаление новообразования спинномозгового нерва микрохирургическое
A16.25.017	Рассечение рубцов в барабанной полости
A16.25.027.001	Тимпанотомия с рассечением рубцов барабанной полости
A16.25.035	Удаление новообразования уха с применением микрохирургической, эндоскопической, навигационной техники, а также с эндоваскулярной эмболизацией сосудов микроэмболами или при помощи адгезивного агента 
A16.25.039	Эндоскопическое электрохирургическое удаление новообразования среднего уха
A16.25.042	Удаление доброкачественного новообразования наружного слухового прохода
A16.26.002	Удаление инородного тела или новообразования слезной железы
A16.26.017	Трансплантация волосяных фолликулов
A16.26.018	Эпиляция ресниц
A16.26.025	Удаление новообразования век
A16.26.046.001	Эксимерлазерная фототерапевтическая кератэктомия
A16.26.046.002	Эксимерлазерная фоторефракционная кератэктомия
A16.26.084	Деструкция очагов воспаления, неоваскуляризации или новообразования сетчатки, хориоидеи
A16.26.092.001	Лазерная экстракция хрусталика
A16.26.097	Лазерная капсулотомия, капсулэктомия
A16.26.106	Удаление инородного тела, новообразования из глазницы
A16.26.121	Удаление новообразования роговицы, конъюнктивы
A16.26.132	Радиоэксцизия при новообразованиях придаточного аппарата глаза
A16.26.135	Мембранопилинг
A16.26.152	Эндорезекция внутриглазных новообразований
A16.28.003.003	Резекция почки с применением физических методов воздействия (радиочастотная абляция, интерстициальная лазерная абляция)
A16.28.026.001	Трансуретральная резекция мочевого пузыря с интраоперационной фотодинамической терапией, гипертермией или низкоинтенсивным лазерным излучением
A16.28.029.003	Трансвезикальная электроэксцизия новообразования мочевого пузыря
A16.28.050.001	Трансуретральная эндоскопическая уретеролитотрипсия лазерная
A16.28.069	Интерстициальная лазерная коагуляция
A16.28.070	Криоабляция новообразования почки
A16.30.008	Иссечение кожи и подкожно-жировой клетчатки передней брюшной стенки (абдоминопластика)
A16.30.024	Удаление новообразования забрюшинного пространства
A16.30.025.005	Лапароскопическое удаление новообразований брюшной полости и забрюшинного пространства
A16.30.031	Удаление новообразования крестцово-копчиковой области
A16.30.032	Иссечение новообразования мягких тканей
A16.30.032.001	Широкое иссечение новообразования мягких тканей
A16.30.032.002	Иссечение новообразований мягких тканей с реконструктивно-пластическим компонентом
A16.30.032.004	Иссечение множественных новообразований мягких тканей
A16.30.032.005	Иссечение новообразований мягких тканей (с определением "сторожевого" лимфатического узла)
A16.30.033	Удаление новообразования мягких тканей
A16.30.036.002	Лазерная деструкция очагов эндометриоза
A16.30.038	Удаление новообразования забрюшинного пространства с реконструктивно-пластическим компонентом
A16.30.039	Удаление новообразования забрюшинного пространства с использованием видеоэндоскопических технологий
A16.30.040	Удаление новообразования забрюшинного пространства комбинированное
A16.30.049	Радиочастотная абляция новообразований костей под контролем ультразвукового исследования
A16.30.049.001	Радиочастотная абляция новообразований костей под контролем рентгенологического исследования
A16.30.075	Реконструктивно-пластические операции с перемещением комплексов тканей (кожа, мышцы, сухожилия)
A17.01.003	Ионофорез кожи
A17.01.004	Деинкрустация кожи
A17.01.005	Броссаж кожи
A17.01.007	Дарсонвализация кожи
A17.01.009	Электронный лимфодренаж при заболеваниях кожи и подкожной клетчатки
A17.01.010	Микротоковое воздействие при заболеваниях кожи и подкожной клетчатки
